"Sottoarea_144.Prodotto_1.Zona","Sottoarea_144.Prodotto_1.Zona_Number","Sottoarea_144.Prodotto_1.Area","Sottoarea_144.Prodotto_1.Area_Number","Sottoarea_144.Prodotto_1.Sottoarea","Sottoarea_144.Prodotto_1.Sottoarea_Number","Sottoarea_144.Prodotto_1.Latitudine","Sottoarea_144.Prodotto_1.Longitudine","Sottoarea_144.Prodotto_1.Categoria_prodotto","Sottoarea_144.Prodotto_1.Categoria_prodotto_Number","Sottoarea_144.Prodotto_1.Data","Sottoarea_144.Prodotto_1.Year","Sottoarea_144.Prodotto_1.Month","Sottoarea_144.Prodotto_1.Day_Number","Sottoarea_144.Prodotto_1.Day","Sottoarea_144.Prodotto_1.Weekend","Sottoarea_144.Prodotto_1.Holiday","Sottoarea_144.Prodotto_1.Season","Sottoarea_144.Prodotto_1.Vendite"
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-01","2014","gennaio",1,"mercoledì",0,1,"inverno",0
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-02","2014","gennaio",2,"giovedì",0,0,"inverno",3
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-03","2014","gennaio",3,"venerdì",0,0,"inverno",3
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-04","2014","gennaio",4,"sabato",1,0,"inverno",1
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-05","2014","gennaio",5,"domenica",1,0,"inverno",0
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-06","2014","gennaio",6,"lunedì",0,1,"inverno",0
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-07","2014","gennaio",7,"martedì",0,0,"inverno",5
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-08","2014","gennaio",8,"mercoledì",0,0,"inverno",5
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-09","2014","gennaio",9,"giovedì",0,0,"inverno",8
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-10","2014","gennaio",10,"venerdì",0,0,"inverno",12
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-11","2014","gennaio",11,"sabato",1,0,"inverno",8
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-12","2014","gennaio",12,"domenica",1,0,"inverno",1
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-13","2014","gennaio",13,"lunedì",0,0,"inverno",4
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-14","2014","gennaio",14,"martedì",0,0,"inverno",14
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-15","2014","gennaio",15,"mercoledì",0,0,"inverno",13
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-16","2014","gennaio",16,"giovedì",0,0,"inverno",15
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-17","2014","gennaio",17,"venerdì",0,0,"inverno",13
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-18","2014","gennaio",18,"sabato",1,0,"inverno",0
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-19","2014","gennaio",19,"domenica",1,0,"inverno",7
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-20","2014","gennaio",20,"lunedì",0,0,"inverno",11
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-21","2014","gennaio",21,"martedì",0,0,"inverno",15
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-22","2014","gennaio",22,"mercoledì",0,0,"inverno",9
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-23","2014","gennaio",23,"giovedì",0,0,"inverno",0
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-24","2014","gennaio",24,"venerdì",0,0,"inverno",12
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-25","2014","gennaio",25,"sabato",1,0,"inverno",3
"Zona_25",25,"Area_61",61,"Sottoarea_144",144,45.4211233694268,11.0269679299363,"Prodotto_1",1,"2014-01-26","2014","gennaio",26,"domenica",1,0,"inverno",0
