"Area","Zona","Sottoarea","Latitudine","Longitudine","Data","Vendite.previste","Vendite.previste.approssimate","Mean.Absolute.Error","Root.Mean.Squared.Error","Mean.Squared.Error","Mean.Absolute.Percentage.Error"
"Area_57","Zona_21","Sottoarea_1","37.57251433","14.20335412","5/20/16","2.4337","2.0","0.2623","0.3833","0.1469","15.9878"
,,,,,"5/21/16","1.9662","2.0","0.2623","0.3835","0.1471","15.9638"
,,,,,"5/22/16","0.0879","0.0","0.2625","0.3838","0.1473","15.9609"
,,,,,"5/23/16","1.3304","1.0","0.2628","0.3842","0.1476","15.9787"
,,,,,"5/24/16","2.0206","2.0","0.2632","0.3846","0.1479","16.001"
,,,,,"5/25/16","1.4965","1.0","0.2633","0.3849","0.1481","15.9913"
,,,,,"5/26/16","1.5194","2.0","0.2625","0.3841","0.1475","15.9913"
,,,,,"5/27/16","2.1756","2.0","0.2623","0.3841","0.1475","15.9377"
,,,,,"5/28/16","1.0293","1.0","0.2623","0.3843","0.1477","15.9179"
,,,,,"5/29/16","0.403","0.0","0.2627","0.3847","0.148","15.9496"
"Area_33","Zona_13","Sottoarea_10","43.54901306","13.17461525","5/20/16","2.9807","3.0","0.2947","0.3779","0.1428","15.6365"
,,,,,"5/21/16","2.6238","3.0","0.2941","0.3773","0.1423","15.5389"
,,,,,"5/22/16","0.2056","0.0","0.2923","0.3739","0.1398","15.5207"
,,,,,"5/23/16","2.0934","2.0","0.2927","0.3742","0.14","15.5272"
,,,,,"5/24/16","2.2762","2.0","0.293","0.3746","0.1403","15.5272"
,,,,,"5/25/16","3.8009","4.0","0.2929","0.3746","0.1404","15.4884"
,,,,,"5/26/16","2.7933","3.0","0.2922","0.3738","0.1397","15.4884"
,,,,,"5/27/16","2.683","3.0","0.2923","0.3741","0.1399","15.5011"
,,,,,"5/28/16","1.4792","1.0","0.2921","0.374","0.1398","15.5042"
,,,,,"5/29/16","0.2402","0.0","0.2913","0.3731","0.1392","15.4643"
"Area_16","Zona_7","Sottoarea_100","46.16282132","12.92471034","5/20/16","5.2607","5.0","0.4785","0.6948","0.4828","17.2566"
,,,,,"5/21/16","4.3803","4.0","0.4785","0.6952","0.4833","17.197"
,,,,,"5/22/16","0.7542","1.0","0.4782","0.6953","0.4834","17.1645"
,,,,,"5/23/16","2.6232","3.0","0.4789","0.696","0.4844","17.1888"
,,,,,"5/24/16","5.3948","5.0","0.4797","0.6967","0.4853","17.2106"
,,,,,"5/25/16","6.3082","6.0","0.4791","0.6964","0.485","17.0717"
,,,,,"5/26/16","5.648","6.0","0.4782","0.696","0.4843","17.0717"
,,,,,"5/27/16","6.0296","6.0","0.4786","0.6965","0.4851","17.0739"
,,,,,"5/28/16","4.6103","5.0","0.4793","0.6972","0.4861","17.1009"
,,,,,"5/29/16","0.7153","1.0","0.4788","0.6971","0.486","16.9798"
"Area_47","Zona_17","Sottoarea_101","40.65420376","17.64936174","5/20/16","3.7413","4.0","0.4035","0.649","0.4212","19.0128"
,,,,,"5/21/16","3.4251","3.0","0.4017","0.647","0.4187","19.0128"
,,,,,"5/22/16","0.8063","1.0","0.4018","0.6475","0.4192","18.9744"
,,,,,"5/23/16","1.7678","2.0","0.4024","0.6481","0.4201","19.0008"
,,,,,"5/24/16","3.884","4.0","0.4031","0.6488","0.4209","19.0289"
,,,,,"5/25/16","4.3818","4.0","0.4036","0.6494","0.4217","19.037"
,,,,,"5/26/16","4.8603","5.0","0.4026","0.6488","0.421","19.037"
,,,,,"5/27/16","3.8718","4.0","0.4034","0.6495","0.4218","19.0758"
,,,,,"5/28/16","3.3987","3.0","0.4037","0.65","0.4225","19.0916"
,,,,,"5/29/16","0.509","1.0","0.4037","0.6504","0.423","19.0395"
