Sottoarea;Data;Vendite Previste;Mean Absolute Error;Root Mean Squared Error;Mean Squared Error;Mean Absolute Percentage Error
Sottoarea_1;20/05/2016;2,9768;0,2685;0,3549;0,1259;11,9802
;21/05/2016;1,1067;0,267;0,3522;0,124;11,9802
;22/05/2016;0,438;0,2672;0,3525;0,1242;11,9926
;23/05/2016;3,2695;0,2668;0,3521;0,124;11,9926
;24/05/2016;3,4085;0,267;0,3524;0,1242;11,9926
;25/05/2016;2,8527;0,2673;0,3527;0,1244;12,0054
;26/05/2016;2,873;0,2656;0,3496;0,1222;12,0054
;27/05/2016;3,1854;0,2651;0,3491;0,1219;12,003
;28/05/2016;1,2665;0,2655;0,3495;0,1221;12,0239
;29/05/2016;0,23;0,2654;0,3496;0,1222;12,0182
Sottoarea_10;20/05/2016;5,9265;0,3731;0,5158;0,266;10,9405
;21/05/2016;1,6887;0,3705;0,5108;0,261;10,9405
;22/05/2016;0,5486;0,3711;0,5113;0,2615;10,9598
;23/05/2016;4,8193;0,3716;0,5118;0,2619;10,9521
;24/05/2016;4,4167;0,3722;0,5123;0,2625;10,9521
;25/05/2016;5,5178;0,3711;0,5112;0,2613;10,8712
;26/05/2016;5,0066;0,369;0,5078;0,2579;10,8712
;27/05/2016;5,8572;0,3695;0,5083;0,2584;10,8889
;28/05/2016;1,6955;0,3696;0,5086;0,2587;10,8988
;29/05/2016;0,0924;0,3698;0,509;0,259;10,9084
Sottoarea_100;20/05/2016;6,35;0,4473;0,6439;0,4146;9,7654
;21/05/2016;1,5869;0,4441;0,638;0,407;9,7654
;22/05/2016;0,07;0,4426;0,6365;0,4051;9,7493
;23/05/2016;6,1703;0,443;0,637;0,4057;9,7102
;24/05/2016;6,4113;0,4434;0,6375;0,4064;9,7102
;25/05/2016;6,0792;0,4437;0,638;0,4071;9,7212
;26/05/2016;5,4873;0,4408;0,6332;0,4009;9,7212
;27/05/2016;6,1442;0,4408;0,6335;0,4013;9,7263
;28/05/2016;1,6142;0,4401;0,6332;0,4009;9,7263
;29/05/2016;0,4096;0,4397;0,6332;0,4009;9,7321
Sottoarea_101;20/05/2016;4,8471;0,35;0,5075;0,2576;12,397
;21/05/2016;0,6597;0,348;0,5044;0,2544;12,397
;22/05/2016;0,2097;0,3479;0,5046;0,2546;12,4036
;23/05/2016;4,2016;0,3484;0,5051;0,2551;12,4158
;24/05/2016;5,1317;0,3491;0,5056;0,2556;12,4158
;25/05/2016;4,6241;0,3489;0,5057;0,2557;12,3336
;26/05/2016;3,9587;0,3473;0,5037;0,2537;12,3336
;27/05/2016;4,7287;0,3458;0,5017;0,2517;12,0846
;28/05/2016;1,3854;0,346;0,5021;0,2521;12,1001
;29/05/2016;0,1098;0,3457;0,502;0,252;12,0642
Sottoarea_102;20/05/2016;8,2845;0,5358;0,7579;0,5744;12,5972
;21/05/2016;1,8291;0,5321;0,7512;0,5643;12,5972
;22/05/2016;0,2121;0,5321;0,7515;0,5647;12,6043
;23/05/2016;8,0842;0,5316;0,7515;0,5647;12,4526
;24/05/2016;8,802;0,5323;0,7522;0,5658;12,4526
;25/05/2016;8,5353;0,5319;0,7522;0,5658;12,4242
;26/05/2016;6,6955;0,5309;0,7515;0,5647;12,3274
;27/05/2016;7,9288;0,5302;0,7513;0,5644;12,3056
;28/05/2016;1,0314;0,5311;0,752;0,5655;12,3315
;29/05/2016;0,3012;0,5314;0,7526;0,5664;12,3386
Sottoarea_103;20/05/2016;4,6066;0,3637;0,4734;0,2241;14,1394
;21/05/2016;1,3076;0,362;0,4709;0,2217;14,1394
;22/05/2016;0,0367;0,361;0,4697;0,2206;13,961
;23/05/2016;3,9861;0,3609;0,4698;0,2207;13,9039
;24/05/2016;3,4257;0,3608;0,4699;0,2208;13,9039
;25/05/2016;4,1744;0,361;0,4703;0,2211;13,9177
;26/05/2016;3,1567;0,36;0,4691;0,2201;13,7432
;27/05/2016;4,4315;0,3594;0,4686;0,2196;13,6969
;28/05/2016;1,3133;0,3594;0,4688;0,2198;13,7127
;29/05/2016;0,0367;0,3596;0,4692;0,2201;13,7241
Sottoarea_104;20/05/2016;5,0898;0,384;0,5214;0,2719;13,0826
;21/05/2016;1,8084;0,3813;0,5162;0,2665;13,0826
;22/05/2016;0,0483;0,3809;0,516;0,2663;13,0428
;23/05/2016;4,4086;0,3799;0,5151;0,2653;12,8661
;24/05/2016;4,1487;0,3801;0,5154;0,2657;12,8661
;25/05/2016;4,8989;0,3803;0,5158;0,266;12,8629
;26/05/2016;3,5507;0,3789;0,514;0,2642;12,6291
;27/05/2016;4,6366;0,3781;0,5133;0,2635;12,5676
;28/05/2016;1,1234;0,3773;0,5127;0,2629;12,5671
;29/05/2016;0,01;0,3768;0,5124;0,2626;12,546
Sottoarea_105;20/05/2016;9,1944;0,5977;0,8407;0,7068;11,479
;21/05/2016;2,2413;0,5918;0,8264;0,6829;11,479
;22/05/2016;0,1903;0,59;0,8245;0,6798;11,4715
;23/05/2016;9,4035;0,5889;0,8237;0,6785;11,2466
;24/05/2016;7,977;0,5886;0,8239;0,6787;11,2466
;25/05/2016;8,4912;0,5894;0,8246;0,68;11,2653
;26/05/2016;8,2861;0,5846;0,8146;0,6635;11,2653
;27/05/2016;8,912;0,5846;0,815;0,6642;11,2737
;28/05/2016;1,8523;0,5844;0,8153;0,6646;11,2841
;29/05/2016;0,2935;0,5834;0,8145;0,6635;11,2865
Sottoarea_106;20/05/2016;9,0157;0,6068;0,8763;0,7678;11,8226
;21/05/2016;2,7582;0,6048;0,8741;0,7641;11,8226
;22/05/2016;0,7945;0,604;0,8739;0,7637;11,8175
;23/05/2016;8,9441;0,6041;0,8744;0,7646;11,8175
;24/05/2016;8,5061;0,6051;0,8753;0,7661;11,8175
;25/05/2016;8,6327;0,6039;0,8745;0,7648;11,7534
;26/05/2016;8,9966;0,6002;0,8685;0,7543;11,7534
;27/05/2016;9,4523;0,6006;0,8692;0,7555;11,7569
;28/05/2016;3,8285;0,6007;0,8697;0,7563;11,7578
;29/05/2016;0,313;0,5981;0,8664;0,7507;11,7454
